"","es","med","p","nr","r","lr","l"
"153","11","P4","12",3,"R2",21.03,"Luz"
"154","11","P4","12",3,"R3",56.45,"Luz"
"155","11","P4","13",0,"0",0,"Luz"
"156","11","P4","14",2,"R1",65.93,"Luz"
"157","11","P4","14",2,"R2",66.92,"Luz"
"158","11","P4","15",5,"R1",107.17,"Luz"
"159","11","P4","15",5,"R2",27.87,"Luz"
"160","11","P4","15",5,"R3",67.94,"Luz"
"161","11","0.5","Ninguna plántula desarrolló raíces.",5,NA,NA,"Luz"
"162","11","1","1",0,"0",0,"Oscuridad"
"163","11","1","2",0,"0",0,"Oscuridad"
"164","11","1","3",0,"0",0,"Oscuridad"
"165","11","1","4",1,"R1",19.62,"Oscuridad"
"166","11","1","5",0,"0",0,"Oscuridad"
"167","11","1","6",3,"R1",28.56,"Oscuridad"
"168","11","1","6",3,"R2",31.99,"Oscuridad"
"169","11","1","6",3,"R3",50.35,"Oscuridad"
"170","11","1","6",3,"R4",27.72,"Oscuridad"
"171","11","1","7",2,"R1",26.14,"Oscuridad"
"172","11","1","7",2,"R2",27.39,"Oscuridad"
"173","11","1","8",0,"0",0,"Oscuridad"
"174","11","1","9",2,"R1",22.56,"Oscuridad"
"175","11","1","9",2,"R2",44.96,"Oscuridad"
"176","11","1","10",11,"R1",34.77,"Luz"
"177","11","1","10",11,"R2",71.63,"Luz"
"178","11","1","10",11,"R3",27.01,"Luz"
"179","11","1","10",11,"R4",33.06,"Luz"
"180","11","1","10",11,"R5",33.95,"Luz"
"181","11","1","10",11,"R6",24.47,"Luz"
"182","11","1","10",11,"R7",20.6,"Luz"
"183","11","1","10",11,"R8",32.95,"Luz"
"184","11","1","10",11,"R9",48.27,"Luz"
"185","11","1","10",11,"R10",16.73,"Luz"
"186","11","1","10",11,"R11",15.27,"Luz"
"187","11","1","11",7,"R1",17.52,"Luz"
"188","11","1","11",7,"R2",23.33,"Luz"
"189","11","1","11",7,"R3",23.39,"Luz"
"190","11","1","11",7,"R4",29.12,"Luz"
"191","11","1","11",7,"R5",20.07,"Luz"
"192","11","1","11",7,"R6",33.74,"Luz"
"193","11","1","12",1,"R1",15.08,"Luz"
"194","11","1","13",1,"R1",41.45,"Luz"
"195","11","1","14",0,"0",0,"Luz"
"196","11","1","15",2,"R1",23.35,"Luz"
"197","11","1","15",2,"R2",18.21,"Luz"
"198","11","1","16",1,"R1",31.72,"Luz"
"199","11","1","17",2,"R1",16.56,"Luz"
"200","11","1","17",2,"R2",39.71,"Luz"
